"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri May 12 17:44:26 CST 2023","Fri May 12 17:44:27 CST 2023","72","testcase.buyer","test_003_add_cart","TestAddCartApi","","","sku_id已删除",""
"passed","Fri May 12 17:44:27 CST 2023","Fri May 12 17:44:27 CST 2023","129","testcase.buyer","test_001_buy_now","TestBuyNowApi","","","test_buy_now_exception[num为0-541-0-400-004-购买数量必须大于0]",""
"passed","Fri May 12 17:44:25 CST 2023","Fri May 12 17:44:25 CST 2023","111","testcase.buyer","test_001_buy_now","TestBuyNowApi","","","test_buy_now_exception[sku_id 不存在-4882626-1-500-004-不合法]",""
"broken","Fri May 12 17:44:24 CST 2023","Fri May 12 17:44:24 CST 2023","0","testcase.buyer","test_002_create_trade","TestCreateTrade","","","test_create_trade[BUY_NOW-PC]",""
"broken","Fri May 12 17:44:27 CST 2023","Fri May 12 17:44:27 CST 2023","0","testcase.buyer","test_002_create_trade","TestCreateTrade","","","test_create_trade[CART-NATIVE]",""
"passed","Fri May 12 17:44:27 CST 2023","Fri May 12 17:44:27 CST 2023","125","testcase.buyer","test_003_add_cart","TestAddCartApi","","","num为-1",""
"broken","Fri May 12 17:44:26 CST 2023","Fri May 12 17:44:26 CST 2023","0","testcase.buyer","test_002_create_trade","TestCreateTrade","","","test_create_trade[BUY_NOW-WAP]",""
"broken","Fri May 12 17:44:27 CST 2023","Fri May 12 17:44:29 CST 2023","2287","testcase.buyer","test_001_buy_now","TestBuyNowApi","","","test_buy_now_sccess",""
"failed","Fri May 12 17:44:27 CST 2023","Fri May 12 17:44:27 CST 2023","105","testcase.buyer","test_001_buy_now","TestBuyNowApi","","","test_buy_now_exception[产品已删除-551-1-500-004-不合法]",""
"passed","Fri May 12 17:44:27 CST 2023","Fri May 12 17:44:27 CST 2023","122","testcase.buyer","test_001_buy_now","TestBuyNowApi","","","test_buy_now_exception[num为负数-541--1-400-004-购买数量必须大于0]",""
"broken","Fri May 12 17:44:27 CST 2023","Fri May 12 17:44:27 CST 2023","0","testcase.buyer","test_002_create_trade","TestCreateTrade","","","test_create_trade[BUY_NOW-NATIVE]",""
"broken","Fri May 12 17:44:27 CST 2023","Fri May 12 17:44:27 CST 2023","0","testcase.buyer","test_002_create_trade","TestCreateTrade","","","test_create_trade[CART-WAP]",""
"passed","Fri May 12 17:44:27 CST 2023","Fri May 12 17:44:27 CST 2023","88","testcase.buyer","test_003_add_cart","TestAddCartApi","","","num为0",""
"passed","Fri May 12 17:44:25 CST 2023","Fri May 12 17:44:25 CST 2023","91","testcase.buyer","test_003_add_cart","TestAddCartApi","","","sku_id不存在",""
"broken","Fri May 12 17:44:27 CST 2023","Fri May 12 17:44:27 CST 2023","0","testcase.buyer","test_002_create_trade","TestCreateTrade","","","test_create_trade[CART-MINI]",""
"broken","Fri May 12 17:44:27 CST 2023","Fri May 12 17:44:27 CST 2023","0","testcase.buyer","test_002_create_trade","TestCreateTrade","","","test_create_trade[BUY_NOW-MINI]",""
"failed","Fri May 12 17:44:25 CST 2023","Fri May 12 17:44:25 CST 2023","138","testcase.buyer","test_003_add_cart","TestAddCartApi","","","sku_id已下架",""
"failed","Fri May 12 17:44:25 CST 2023","Fri May 12 17:44:25 CST 2023","120","testcase.buyer","test_001_buy_now","TestBuyNowApi","","","test_buy_now_exception[产品已下架-542-1-500-004-不合法]",""
"broken","Fri May 12 17:44:27 CST 2023","Fri May 12 17:44:27 CST 2023","0","testcase.buyer","test_002_create_trade","TestCreateTrade","","","test_create_trade[CART-PC]",""
"passed","Fri May 12 17:44:27 CST 2023","Fri May 12 17:44:27 CST 2023","147","testcase.buyer","test_003_add_cart","TestAddCartApi","","","num超过库存",""
"passed","Fri May 12 17:44:27 CST 2023","Fri May 12 17:44:27 CST 2023","103","testcase.buyer","test_001_buy_now","TestBuyNowApi","","","test_buy_now_exception[num超过库存-541-999999999-500-451-商品库存已不足，不能购买。]",""
